,fin,wrnty_start_dt,sales_area_nm,prod_dt
13569,WDB65322752370708,2023-01-30,930,2021-10-11
13570,NMB99196941716171,2022-02-28,873,2019-07-15
13571,W1T28618479513901,2022-06-10,812,2021-12-19
13572,WEB41501066886264,2015-04-01,646,2012-01-28
13573,W1T94033455009172,2019-03-10,499,2011-11-24
13574,WEB90743229320578,2020-08-06,617,2011-05-06
13575,NMB57727488508821,2020-06-15,490,2020-01-26
13576,WEB14241278320865,2015-12-19,673,2013-08-15
13577,W1T63534565337601,2012-01-18,808,2011-11-06
13578,W1T38319773116545,2020-11-02,575,2014-06-09
13579,W1T89801164005452,2022-08-01,919,2020-12-01
13580,WEB28866062539626,2022-01-26,269,2011-12-02
13581,NMB41319386834737,2018-10-07,733,2016-08-01
13582,NMB67782955423328,2023-09-06,558,2023-02-16
13583,WEB55679050280806,2017-04-07,579,2015-01-13
13584,W1T51341327626650,2023-03-02,241,2023-02-20
13585,NMB28636526082002,2022-10-08,701,2020-10-05
13586,W1T14850983861999,2021-04-24,615,2019-05-18
13587,WEB29068929068028,2014-01-28,663,2012-03-24
13588,WDB29897458726203,2022-12-14,723,2022-11-22
13589,W1T59076001179517,2022-12-14,754,2022-07-08
13590,W1T12235248396026,2013-08-03,935,2012-06-25
13591,NMB81715525181662,2021-12-15,208,2017-04-20
13592,WEB29406786583537,2023-06-27,879,2023-01-28
13593,WDB12574360278241,2019-07-11,803,2019-01-28
13594,NMB34374655249621,2015-04-05,297,2011-10-09
13595,W1T71842591675437,2018-07-24,737,2014-06-28
13596,WDB15387200215780,2018-11-04,795,2012-01-06
13597,NMB27354233425433,2022-08-25,823,2016-12-11
13598,W1T22354646402754,2021-12-22,819,2018-04-23
13599,WDB98901626346669,2017-12-30,519,2012-07-15
13600,WDB55808563883014,2023-08-15,719,2022-10-17
13601,WDB73620571208792,2019-05-25,720,2012-04-04
13602,WDB69287666995905,2023-08-22,869,2021-10-17
13603,W1T79928847874905,2023-04-18,526,2020-11-16
13604,NMB76947502955038,2017-01-12,741,2015-05-29
13605,NMB30746923193994,2016-05-06,683,2012-09-02
13606,W1T96824691321445,2020-03-10,831,2018-04-23
13607,W1T41660042497676,2021-01-07,769,2014-12-25
13608,W1T89366496659505,2020-01-21,216,2018-10-14
13609,WDB59926295617782,2023-03-21,204,2020-03-17
13610,W1T98893983782003,2020-05-13,735,2016-01-31
13611,W1T19688992095473,2022-01-01,414,2017-11-13
13612,NMB91377515324408,2022-03-18,627,2015-06-07
13613,WEB52597483148689,2022-08-13,567,2017-05-29
13614,NMB59494203907824,2022-02-06,679,2014-12-06
13615,WEB24621238558636,2022-11-16,619,2017-01-20
13616,NMB45841902523800,2012-10-02,771,2011-08-28
13617,WEB42987146245529,2022-09-06,207,2019-06-11
13618,W1T99341753159352,2021-03-27,221,2015-06-11
13619,NMB89462069457459,2023-03-13,920,2019-06-03
13620,W1T93454404723273,2021-12-30,273,2013-01-13
13621,NMB40980927888265,2019-06-25,883,2014-09-11
13622,WDB54956995765194,2014-06-01,551,2014-01-29
13623,WDB16040836797663,2018-03-07,271,2015-07-20
13624,W1T58878200964284,2019-05-21,511,2012-07-24
13625,WEB41980251492070,2017-08-29,550,2013-09-05
13626,WEB36385590008015,2019-11-18,814,2012-10-30
13627,W1T86540594773928,2022-10-22,863,2022-05-09
13628,WDB40138540718352,2017-02-12,843,2013-12-15
13629,WEB39520845916619,2022-10-11,821,2015-06-30
13630,NMB10821852704537,2021-10-17,703,2020-04-05
13631,NMB47204451818982,2020-12-20,761,2017-03-26
13632,WEB80321693875865,2020-01-03,601,2018-10-06
13633,WDB99099223989016,2021-02-12,258,2020-10-20
13634,WEB12165067857286,2023-09-15,687,2018-10-28
13635,WDB77214948718979,2019-09-01,818,2014-09-12
13636,WEB88568688455179,2012-07-22,247,2012-05-23
13637,W1T74251458538581,2018-09-04,687,2018-03-18
13638,WEB56245038114153,2022-08-20,233,2013-01-16
13639,NMB61056597992276,2015-05-17,207,2012-08-17
13640,W1T68913776884278,2017-11-14,561,2016-08-24
13641,W1T77178575815566,2021-04-12,667,2016-01-30
13642,W1T39348225248067,2018-11-10,215,2014-11-25
13643,WEB81180683185441,2023-03-26,642,2021-04-27
13644,W1T82814834360416,2017-09-08,835,2012-03-06
13645,WEB13913385020783,2023-06-07,518,2022-04-27
13646,NMB13247080131463,2015-11-27,682,2011-09-29
13647,WDB13601217064074,2023-05-08,533,2021-05-15
13648,WEB37535547908142,2016-05-05,928,2015-11-14
13649,NMB70307201637758,2023-04-03,733,2015-05-22
13650,WEB43726014534085,2022-10-22,629,2017-12-29
13651,WEB14377918926042,2022-04-20,614,2021-03-01
13652,NMB63606730708021,2020-05-25,781,2019-12-08
13653,W1T80843058786883,2012-05-17,863,2011-09-03
13654,W1T88526749573090,2021-04-09,571,2020-10-21
13655,WDB58937370457026,2023-02-26,883,2017-03-07
13656,W1T42719608728479,2019-12-09,647,2017-09-27
13657,NMB52843658175009,2015-09-17,868,2014-09-24
13658,WEB17704922413475,2019-12-30,217,2016-12-23
13659,W1T79224049339104,2018-07-25,863,2016-02-01
13660,WDB84268807521350,2018-12-31,785,2015-04-02
13661,W1T90990247828224,2022-08-27,779,2021-11-24
13662,NMB94654623912496,2017-05-03,651,2015-04-16
13663,WEB98478693714776,2020-12-13,521,2015-11-24
13664,W1T45336389284406,2016-12-28,438,2013-12-30
13665,NMB53679254675087,2020-12-31,520,2012-12-22
13666,WEB52507084161629,2021-07-11,848,2013-06-24
13667,WEB85167039192111,2022-12-03,739,2021-05-08
13668,NMB73627539578343,2023-04-04,569,2020-03-12
13669,WDB22092558693147,2019-10-11,368,2013-08-08
13670,NMB80648098751623,2020-09-27,775,2019-09-13
13671,WEB84150409311359,2018-09-28,567,2016-12-06
13672,WEB35357194157986,2023-09-13,221,2022-03-14
13673,W1T16520051016778,2021-02-26,783,2013-10-26
13674,WEB58457663442433,2023-01-23,763,2022-11-04
13675,WEB52302733858251,2022-03-19,663,2016-11-01
13676,W1T27858957137101,2021-02-10,215,2012-05-22
13677,WDB82422690869702,2021-05-13,703,2020-03-20
13678,WEB79598877804508,2023-05-13,221,2021-11-10
13679,WEB17316398689575,2017-06-25,863,2015-04-08
13680,NMB34207567733560,2023-08-15,735,2022-08-03
13681,W1T23106092086375,2021-08-13,579,2017-07-05
13682,WEB69515432753549,2017-07-23,779,2016-03-30
13683,W1T93831055585157,2022-09-06,511,2016-09-20
13684,WDB17442534337195,2020-05-13,785,2018-09-11
13685,W1T52948080434073,2018-06-25,848,2013-10-06
13686,W1T47793336547411,2020-11-17,528,2013-04-21
13687,WDB62171915517604,2021-09-22,920,2013-03-01
13688,WDB81148123817151,2017-01-31,565,2016-09-07
13689,WEB41248738806583,2017-11-22,206,2016-06-01
13690,WEB41822350190002,2023-06-22,295,2016-06-02
13691,WDB84854041577790,2020-10-22,755,2015-11-19
13692,WDB50002056220614,2020-07-23,620,2015-12-17
13693,NMB27898901438863,2020-05-03,549,2016-12-29
13694,NMB72517039902761,2022-11-05,613,2018-10-13
13695,WEB24612077758275,2023-01-01,281,2021-07-07
13696,WDB73962303410764,2016-07-14,535,2012-09-03
13697,NMB30242489282485,2022-06-12,768,2021-10-05
13698,WEB29581962908027,2022-06-28,803,2021-11-23
13699,W1T68071568849339,2022-06-06,254,2022-03-22
13700,W1T62682507988818,2022-07-19,662,2022-05-01
13701,WEB39002620791173,2023-02-17,546,2023-01-10
13702,WEB20939365572782,2021-09-14,486,2018-10-25
13703,WEB57280843974543,2020-07-16,673,2015-02-23
13704,W1T26109674358983,2023-05-09,819,2023-01-04
13705,WDB56526658691722,2020-01-13,406,2019-11-05
13706,NMB35003962395669,2022-01-06,927,2015-11-20
13707,WEB14017250857897,2022-12-26,837,2015-06-05
13708,WEB15317991010878,2021-04-26,791,2016-07-10
13709,W1T87370502741981,2014-07-17,219,2012-10-19
13710,WDB25888798907917,2016-12-19,722,2015-05-10
13711,WDB69619591890242,2022-02-12,706,2019-01-26
13712,WDB44495144077489,2022-08-10,622,2020-09-07
13713,W1T46222498952580,2020-10-22,767,2020-01-14
13714,NMB94763835395074,2014-09-29,490,2013-01-01
13715,WDB49677826824145,2023-02-15,823,2022-12-24
13716,NMB95390012952560,2020-10-06,653,2017-06-14
13717,W1T32638442678458,2022-11-28,515,2016-05-07
13718,W1T90950110091927,2016-02-19,727,2011-05-21
13719,NMB55959196508464,2018-03-28,615,2017-10-29
13720,NMB64659602605930,2021-06-29,207,2018-08-29
13721,WEB99361549906584,2020-05-30,233,2017-07-16
13722,WDB55373609608265,2018-10-31,248,2018-09-30
13723,WEB59379961227412,2023-07-05,751,2022-01-15
13724,WDB43652619845150,2023-01-30,785,2023-01-11
13725,WEB42598501580721,2017-02-24,821,2014-03-02
13726,WDB14220339173288,2022-09-26,803,2014-08-18
13727,W1T41608309193661,2021-09-01,615,2011-02-11
13728,WDB32513337989414,2022-11-29,413,2015-04-08
13729,W1T94591520623285,2020-11-02,228,2013-10-11
13730,W1T62110726425952,2023-04-25,291,2017-02-15
13731,NMB57158587103643,2015-05-23,755,2015-04-13
13732,W1T33112467318515,2021-10-08,928,2020-08-10
13733,W1T10833647466872,2023-01-19,722,2017-12-20
13734,WEB44146022145363,2022-08-13,216,2021-07-28
13735,WDB50474585811557,2022-01-22,880,2017-05-28
13736,W1T50111192327785,2014-02-07,772,2012-01-27
13737,WEB29591999314278,2021-09-17,205,2013-10-02
13738,WDB41507229537020,2019-12-19,819,2015-07-10
13739,NMB98363071208749,2023-06-23,576,2019-05-05
13740,WEB19302589702625,2017-04-26,677,2011-05-26
13741,WEB80451335050643,2023-06-09,617,2021-11-19
13742,NMB44114517099494,2017-07-10,861,2017-02-20
13743,W1T31269287846459,2023-03-10,539,2019-09-21
13744,NMB41352924319394,2022-11-15,402,2022-05-11
13745,NMB95226573694467,2017-03-26,810,2013-12-20
13746,WEB53547068445411,2016-04-22,667,2015-04-01
13747,WEB21595966426672,2017-10-14,855,2016-07-21
13748,W1T33834961491747,2023-01-01,885,2016-09-15
13749,W1T15741853635246,2021-08-14,235,2017-04-06
13750,WDB56299393164410,2015-06-10,402,2011-04-05
13751,NMB97419806024181,2020-01-06,625,2019-03-12
13752,W1T22607143515879,2023-02-22,619,2022-07-02
13753,W1T55205703549235,2023-01-17,218,2019-04-29
13754,W1T81268512406477,2023-03-29,385,2022-12-19
13755,W1T78107801254340,2023-09-19,287,2021-04-23
13756,W1T31173698499323,2017-09-07,219,2012-05-31
13757,WEB92482631023976,2018-01-15,822,2017-03-09
13758,NMB14077035680355,2020-12-02,807,2019-09-07
13759,W1T33043029745783,2022-03-01,813,2018-09-01
13760,WEB91873279868885,2021-02-01,207,2020-09-26
13761,W1T47653385629608,2021-07-24,809,2015-08-02
13762,WEB85769110520243,2015-07-04,925,2012-06-02
13763,W1T49681909774112,2018-03-20,368,2015-04-13
13764,W1T92378173929663,2022-11-26,230,2018-06-04
13765,W1T71391053645348,2020-12-08,755,2015-10-16
13766,W1T38779558423117,2022-09-13,414,2021-02-20
13767,WDB12217137722034,2022-10-23,535,2018-06-17
13768,WEB64741420268115,2021-11-30,274,2017-02-17
13769,NMB59726559440025,2022-07-23,403,2021-09-08
13770,NMB37613210193650,2023-04-09,499,2012-07-14
13771,WDB79006194809634,2020-12-24,789,2013-09-08
13772,W1T80043975246663,2016-05-12,231,2012-10-16
13773,NMB43146892026876,2022-11-10,295,2020-11-06
13774,W1T29256138879055,2022-05-27,247,2019-12-06
13775,W1T93209856290462,2015-05-21,513,2013-09-25
13776,WEB70666436214144,2021-11-03,246,2018-08-31
13777,W1T69840174227560,2022-10-19,225,2020-11-23
13778,W1T59695821555013,2018-07-13,526,2012-07-09
13779,WEB60355833559037,2022-08-20,932,2013-08-09
13780,NMB40961479064638,2014-01-03,851,2011-02-24
13781,W1T86722891798230,2023-08-19,855,2019-01-02
13782,NMB11971802972067,2020-11-18,519,2018-01-03
13783,W1T39810675028305,2018-07-11,413,2014-01-06
13784,NMB77344939009919,2018-06-14,861,2013-01-30
13785,WDB83787544510034,2021-10-06,705,2019-01-06
13786,WEB10015274462919,2016-11-07,775,2015-05-07
13787,NMB63095984323012,2021-09-17,753,2012-06-12
13788,NMB75563532934228,2019-09-05,721,2019-02-28
13789,NMB59562132563230,2023-09-01,662,2022-05-27
13790,WDB62914124744839,2019-05-18,869,2011-04-04
13791,NMB13761113683140,2023-01-18,631,2022-12-17
13792,W1T58422291694876,2021-05-27,814,2017-02-25
13793,W1T57265677450350,2023-02-04,401,2016-04-16
13794,W1T73938281008422,2022-12-14,769,2022-05-17
13795,WDB13317589470758,2017-04-25,535,2015-05-07
13796,WEB86534826844417,2022-05-26,626,2021-07-31
13797,NMB24041889411996,2022-01-04,386,2015-02-16
13798,WEB43694171296412,2020-12-11,275,2020-06-21
13799,WDB21061363021733,2016-03-28,255,2012-04-26
13800,WDB14642852856151,2020-02-01,620,2016-08-08
13801,WDB22163284215282,2022-06-09,196,2021-02-25
13802,WDB44470746966491,2022-02-17,293,2018-01-11
13803,WDB79520069141625,2022-10-01,524,2019-12-20
13804,NMB48265646379268,2018-04-21,228,2018-03-11
13805,WDB31578375522964,2023-08-21,678,2022-07-26
13806,WDB70828592661643,2023-02-11,580,2017-08-26
13807,NMB95384687434216,2016-03-25,411,2012-03-02
13808,W1T73264114836010,2023-05-30,723,2013-11-19
13809,NMB37442882438921,2023-09-14,499,2022-04-04
13810,WEB99440860930581,2017-05-15,239,2016-07-20
13811,NMB22707790348468,2019-09-26,614,2012-03-30
13812,NMB48939177748582,2019-11-04,857,2011-12-25
13813,NMB28590892891610,2022-12-01,787,2016-02-03
13814,WDB59531077869997,2018-05-21,297,2018-05-12
13815,WEB66625605060390,2021-10-12,661,2013-09-23
13816,W1T94388346725662,2017-03-17,215,2015-09-10
13817,WDB53612934669139,2021-05-24,785,2015-04-22
13818,WDB47825106725493,2022-06-15,880,2021-09-17
13819,W1T39747152308591,2019-09-20,561,2016-06-28
13820,NMB41068005021665,2018-10-06,554,2011-05-29
13821,W1T35438289988313,2021-12-04,386,2017-05-05
13822,WDB16141452321975,2023-04-18,653,2021-06-12
13823,WEB40024474695931,2021-07-15,274,2021-05-01
13824,W1T59040339714387,2023-04-25,385,2022-06-23
13825,WDB15740375757186,2018-11-15,225,2013-04-08
13826,W1T86515602687861,2020-04-25,882,2011-05-19
13827,W1T15682203911799,2022-12-21,412,2022-06-17
13828,NMB55295780369780,2022-07-05,272,2022-04-29
13829,WDB56683955211288,2020-11-26,775,2019-10-04
13830,NMB89860729845054,2022-09-20,701,2017-12-29
13831,NMB34287183244668,2019-11-22,775,2014-04-23
13832,WEB21756983374038,2023-04-15,935,2016-01-25
13833,WEB27741719114002,2018-03-22,240,2017-12-03
13834,NMB50342739746323,2022-09-26,554,2020-12-06
13835,W1T85445186966425,2022-06-11,283,2021-03-23
13836,WEB41476351682573,2023-09-23,603,2022-12-19
13837,NMB80291750631962,2017-03-11,207,2011-03-29
13838,NMB44943990560943,2022-02-08,244,2020-09-20
13839,W1T33858395007849,2018-12-08,741,2016-03-09
13840,WDB55130812635937,2023-02-01,244,2016-05-24
13841,WDB46172969293706,2019-08-10,649,2013-10-05
13842,WDB66488957937040,2022-11-14,257,2022-09-27
13843,WDB36183817112060,2022-10-14,725,2012-10-28
13844,NMB15885134700421,2018-11-23,606,2011-05-07
13845,WDB89341262566589,2016-11-14,629,2015-01-08
13846,W1T56493123574768,2017-12-26,207,2017-02-18
13847,NMB51393731746824,2017-09-16,583,2013-08-14
13848,NMB27340344876539,2019-03-30,542,2013-01-13
13849,W1T99691970826411,2022-07-23,601,2015-06-06
13850,NMB28724802917930,2015-03-28,661,2014-09-28
13851,NMB80427328073643,2022-05-06,735,2022-02-13
13852,WDB95141577780706,2018-12-16,236,2018-11-30
13853,WEB30648334891677,2022-05-11,825,2016-07-14
13854,W1T19023357233892,2022-11-10,299,2022-03-10
13855,WDB39414070847122,2022-08-12,542,2022-05-17
13856,WEB51449105070413,2014-10-24,766,2013-03-08
13857,WDB63847755225959,2018-08-05,749,2011-11-10
13858,W1T31476040932256,2023-04-08,820,2022-08-21
13859,NMB52070196724635,2021-02-04,883,2016-05-17
13860,NMB50214641333553,2016-08-22,400,2013-01-06
13861,NMB54958115069167,2020-10-17,289,2019-05-13
13862,WDB81520707561594,2022-03-01,639,2014-11-12
13863,NMB44213590970868,2023-01-06,516,2020-01-24
13864,WEB18870058326639,2019-12-05,918,2019-10-14
13865,WEB93587610332208,2023-09-27,683,2021-01-23
13866,NMB94896570256825,2020-08-23,627,2013-04-26
13867,NMB76591787018361,2022-06-18,235,2011-02-26
13868,WEB81892394990352,2022-03-27,755,2021-11-09
13869,WEB64405948536878,2022-10-23,755,2021-03-13
13870,W1T32699450773179,2015-12-22,646,2015-01-29
13871,NMB69511254621473,2020-04-22,749,2019-05-31
13872,W1T68983109444399,2020-04-17,767,2012-03-30
13873,WDB14466681420418,2023-04-02,539,2022-07-09
13874,NMB97871822476390,2018-05-23,531,2016-01-01
13875,W1T78771832119825,2022-10-03,847,2022-06-02
13876,WDB91982326923390,2021-07-19,579,2021-04-24
13877,W1T90105443496878,2023-08-25,297,2022-06-15
13878,WDB93773887887104,2021-11-06,622,2019-02-01
13879,WEB29658064591538,2023-06-09,743,2023-03-10
13880,WDB21242190348624,2022-01-30,768,2020-11-19
13881,W1T31239859606490,2022-05-15,581,2018-03-29
13882,WEB26580611948581,2021-04-24,641,2014-07-18
13883,W1T82623451511469,2021-11-08,521,2017-04-03
13884,NMB44258183890694,2019-05-08,733,2013-10-21
13885,W1T27416413975302,2022-02-11,614,2021-09-22
13886,WEB23471438757056,2018-08-10,222,2016-06-06
13887,NMB63979226491427,2023-08-03,775,2017-06-17
13888,NMB68785770913519,2016-03-12,638,2014-11-20
13889,WDB94281253917065,2019-04-10,869,2016-02-03
13890,W1T47023922198648,2023-07-29,247,2022-01-23
13891,WDB65274082578862,2022-09-30,645,2018-09-09
13892,W1T27143545594423,2023-04-07,289,2022-10-21
13893,W1T64485784640158,2021-01-06,857,2019-01-18
13894,W1T22345386592292,2023-01-27,622,2019-03-17
13895,W1T77139974478904,2014-11-17,813,2013-08-22
13896,WEB16969690555055,2023-04-22,513,2022-12-09
13897,NMB76640860211077,2018-02-20,539,2012-04-05
13898,WDB23312349826377,2017-06-06,775,2012-08-04
13899,W1T40103157941064,2023-07-04,623,2023-04-13
13900,WEB97902693095121,2017-07-31,867,2016-08-06
13901,WDB39189691788860,2019-06-19,739,2019-05-28
13902,WDB21476889329450,2023-05-04,812,2017-04-01
13903,NMB56070235767032,2021-08-22,200,2012-11-02
13904,WEB51134990635495,2023-03-19,675,2020-03-10
13905,WDB80807269791030,2023-05-27,757,2019-05-07
13906,W1T79193718335139,2019-01-31,865,2014-03-05
13907,WDB22307258013395,2018-09-23,516,2014-01-14
13908,NMB76329106974358,2022-01-24,542,2015-09-15
13909,W1T56728775262620,2023-06-05,515,2022-06-03
13910,WEB97851561611070,2016-11-27,793,2014-05-18
13911,WDB69522566906730,2018-11-23,869,2015-09-18
13912,W1T23643741987131,2018-02-24,825,2015-06-17
13913,W1T69713519193562,2022-10-18,855,2017-07-24
13914,WDB13839020700468,2017-11-18,412,2017-09-24
13915,W1T72267188123176,2020-10-23,821,2013-01-09
13916,WDB31489987284593,2019-08-14,935,2014-04-14
13917,WEB71931912944086,2023-06-01,661,2023-04-23
13918,NMB83803634947876,2022-08-07,922,2021-02-23
13919,WEB15019042710047,2023-08-17,290,2017-12-16
13920,WEB96093120703694,2017-03-25,880,2012-12-16
13921,NMB48986205701475,2023-01-27,268,2022-05-02
13922,W1T63979349841879,2016-04-05,805,2012-02-21
13923,W1T86550276465462,2019-11-17,775,2017-12-19
13924,WEB76001986168026,2021-02-11,565,2014-11-03
13925,WEB75008780432250,2022-11-12,212,2022-08-25
13926,WDB71555180353015,2021-11-06,247,2020-06-21
13927,NMB62180742463211,2013-06-30,218,2011-03-30
13928,WDB85149457449021,2023-03-23,647,2013-10-07
13929,WEB98106019983067,2023-05-17,791,2022-04-15
13930,NMB57914226240736,2017-09-01,885,2012-04-28
13931,WDB13319766754472,2022-07-23,224,2021-11-26
13932,NMB58344788222335,2018-01-07,611,2017-03-28
13933,WEB61887647694087,2014-11-04,269,2012-05-15
13934,W1T90420973281653,2016-11-18,605,2014-08-22
13935,NMB53013957818256,2023-08-10,935,2015-02-26
13936,W1T21086675076020,2023-05-03,873,2020-11-24
13937,WEB68037563905295,2015-09-03,283,2014-07-05
13938,WDB12821250488997,2020-08-11,227,2020-01-06
13939,NMB47994553331182,2023-07-07,703,2023-03-08
13940,WDB33973376927742,2021-09-28,919,2021-07-20
13941,W1T26957858034256,2022-09-06,400,2012-11-18
13942,W1T40934108433623,2023-03-09,882,2023-01-05
13943,WEB89533008630011,2019-05-31,523,2013-10-09
13944,WEB51797828469472,2018-03-04,400,2012-11-18
13945,W1T97203061595687,2021-04-07,661,2019-12-24
13946,WDB25955778063417,2019-05-18,849,2018-07-06
13947,W1T24659574870935,2023-08-29,611,2022-04-14
13948,NMB18968918110643,2018-06-05,847,2016-05-30
13949,NMB52023133102310,2023-05-21,226,2015-12-09
13950,WDB62217134962320,2012-04-14,917,2011-01-25
13951,NMB30277831591259,2020-06-20,299,2018-03-23
13952,NMB26136593588368,2022-11-28,556,2015-12-07
13953,W1T51208777184143,2021-12-07,269,2018-12-04
13954,NMB81576188564338,2021-12-11,296,2019-11-20
13955,NMB95828143897534,2012-09-26,722,2011-11-22
13956,W1T30675239523222,2020-05-09,212,2011-08-11
13957,WEB92268216479438,2022-06-24,214,2017-11-08
13958,WEB63866082928015,2019-04-11,275,2014-09-22
13959,WDB18258047330429,2014-11-25,289,2014-03-26
13960,NMB87726584667203,2022-11-25,653,2012-12-28
13961,WEB75229391883862,2019-04-28,544,2013-05-29
13962,W1T40943222449609,2022-09-11,727,2011-09-26
13963,W1T68440847715455,2015-12-31,810,2012-08-25
13964,W1T64129823537849,2023-05-04,529,2022-08-16
13965,WDB56967620470962,2017-11-24,809,2011-11-05
13966,WEB60178537225048,2018-05-11,239,2017-11-13
13967,NMB87472714129259,2022-08-14,682,2020-01-27
13968,W1T71893890618852,2022-06-29,922,2020-07-07
13969,WEB11224913697840,2022-12-10,845,2022-06-16
13970,W1T26158029107801,2020-02-01,686,2020-01-02
13971,WDB31426782603242,2021-05-27,824,2016-07-18
13972,WEB64456213535452,2019-08-27,208,2016-03-14
13973,W1T45114636322922,2018-02-28,253,2016-07-02
13974,W1T67292005065451,2020-01-13,622,2018-09-15
13975,WDB90346189232851,2020-12-13,563,2017-01-22
13976,WEB90499203898893,2021-07-17,831,2016-03-08
13977,W1T61176587890760,2020-01-08,815,2011-01-05
13978,W1T72323534718012,2023-04-23,601,2012-01-02
13979,WEB47038364046435,2018-03-17,297,2012-02-20
13980,W1T61053160386577,2022-06-24,633,2021-03-30
13981,W1T18911200597303,2021-12-28,559,2021-03-25
13982,WEB62999254910704,2021-08-03,254,2019-11-19
13983,W1T87538144469042,2017-09-10,611,2011-05-07
13984,NMB96055632654146,2018-12-03,663,2013-06-11
13985,WEB69340434500230,2016-10-10,647,2016-08-17
13986,WEB35444668477188,2022-11-22,575,2014-05-02
13987,W1T88787913046072,2020-03-28,542,2013-08-22
13988,NMB34269141142407,2021-04-07,841,2019-10-27
13989,WEB85642146582466,2015-04-27,228,2014-07-12
13990,WEB33893154678489,2020-03-10,246,2020-01-12
13991,W1T85372348574078,2023-05-20,516,2017-08-28
13992,W1T23584182622236,2022-08-09,413,2020-08-31
13993,W1T71445681257415,2021-11-10,227,2013-08-01
13994,WEB85516845054994,2021-10-25,727,2013-08-12
13995,NMB25572210698893,2021-01-02,231,2017-01-21
13996,NMB89848150904449,2019-04-07,879,2018-10-30
13997,NMB92148143738917,2018-09-03,751,2016-01-12
13998,WEB12898417128170,2021-05-18,511,2013-11-02
13999,W1T12161550595902,2023-07-04,250,2011-03-09
14000,NMB74813105022794,2018-07-23,215,2016-08-23
14001,WDB77010910020140,2021-01-23,561,2016-04-24
14002,W1T96226228670168,2019-05-15,821,2017-12-07
14003,NMB73833545095879,2015-03-11,882,2012-01-11
14004,WDB15117696793747,2017-07-16,843,2013-09-24
14005,WEB73957688784302,2023-08-13,917,2023-01-12
14006,WEB14975300633540,2023-02-08,787,2018-10-02
14007,NMB45310148364526,2022-09-30,268,2019-04-03
14008,W1T11785618145428,2012-06-13,823,2011-04-08
14009,NMB43163916821151,2019-12-31,248,2016-09-02
14010,W1T27614236348185,2023-07-01,288,2019-09-11
14011,WEB48535262984687,2022-05-30,200,2017-09-08
14012,NMB15047491936020,2023-02-10,639,2015-01-17
14013,WEB45331707488160,2021-09-20,729,2019-01-10
14014,NMB18239306149199,2016-02-28,735,2012-10-30
14015,WDB31203322587243,2016-01-02,641,2013-11-11
14016,WEB38055440052367,2019-01-10,783,2018-07-26
14017,WDB31692390958430,2018-04-01,614,2017-08-12
14018,WDB10887867960023,2022-07-02,541,2020-10-01
14019,NMB56570577432520,2021-10-09,654,2016-04-14
14020,NMB35259972293734,2019-07-02,924,2017-07-24
14021,WDB28140912357687,2023-09-13,438,2022-09-15
14022,WDB18845605939100,2022-02-14,620,2021-06-15
14023,WDB56733841137927,2022-08-23,837,2014-12-28
14024,WDB25390829680127,2022-11-20,686,2021-03-25
14025,NMB96555603128096,2018-06-15,289,2018-03-02
14026,W1T80323414101975,2013-04-09,822,2011-11-03
14027,WEB24780187087144,2012-02-27,749,2011-03-02
14028,WDB99593794659071,2023-02-22,541,2017-01-07
14029,NMB77746776058489,2019-08-11,835,2016-05-17
14030,WDB61139662340859,2023-01-13,821,2017-09-24
14031,WEB86050114262568,2023-05-11,205,2022-07-27
14032,WEB59544695793854,2018-07-07,546,2014-02-15
14033,NMB51095634730032,2018-04-03,625,2016-04-24
14034,W1T57721984494677,2022-08-28,211,2022-07-06
14035,W1T20064487939974,2022-07-23,865,2018-10-26
14036,WEB48892466652291,2017-12-29,290,2016-11-18
14037,WDB89785124807282,2023-07-06,651,2012-03-08
14038,NMB48923487977662,2022-12-18,847,2013-10-04
14039,W1T76781656942153,2017-10-19,544,2013-12-02
14040,W1T82361559938481,2020-11-21,211,2020-04-25
14041,WDB52305187519796,2023-01-14,576,2021-11-20
14042,WDB43008180091218,2023-02-21,619,2020-03-22
14043,WDB38979255122795,2023-03-30,555,2020-11-10
14044,WDB74167958320632,2021-12-04,486,2020-07-15
14045,WDB80526346868949,2021-09-25,676,2021-04-09
14046,WEB94368133911093,2015-04-13,565,2013-12-05
14047,W1T89041514808316,2016-11-25,766,2012-02-18
14048,W1T54935047474457,2013-06-24,785,2012-03-11
14049,W1T84368757417842,2017-04-04,225,2014-01-11
14050,W1T88952865620788,2019-08-21,751,2018-04-27
14051,NMB95095150342627,2017-10-10,245,2011-02-26
14052,NMB11299795047591,2019-06-08,271,2014-12-20
14053,W1T31838958469075,2022-10-03,931,2022-06-20
14054,W1T26466731613552,2016-02-01,819,2015-11-30
14055,NMB96488871596288,2016-05-21,269,2015-08-02
14056,NMB72673870715140,2018-05-23,550,2014-04-12
14057,WEB95097045328372,2020-06-26,567,2018-09-16
14058,WDB27270334047265,2014-05-27,196,2013-05-19
14059,W1T13243999410303,2023-08-17,235,2011-09-04
14060,NMB78459500696716,2023-09-07,614,2022-11-23
14061,WEB92685663858843,2013-05-26,869,2013-04-21
14062,WEB94418670551714,2020-11-04,922,2011-02-01
14063,NMB66238553999220,2020-10-22,720,2014-01-01
14064,WDB76772765742532,2016-10-05,614,2016-03-16
14065,WEB51261883843425,2021-05-25,725,2012-05-03
14066,WDB23426730229979,2018-03-21,575,2013-11-15
14067,W1T55595043032504,2022-12-31,547,2022-08-30
